logradouro
Rua XV de Novembro, 700
Rua João Negrão, 1251
Rua José Loureiro
Rua Marechal Deodoro - até 0766 - lado par
Rua Pedro Ivo
Praça Rui Barbosa
Largo Alfredo Parodi
Rua Emiliano Perneta - até 370/371
Travessa Jesuíno Marcondes
Rua Senador Alencar Guimarães
Rua André de Barros
Travessa Frei Caneca
Avenida Visconde de Guarapuava - de 2181/2182 a 3335/3336
Rua Desembargador Westphalen - até 719/0720
Alameda Doutor Muricy - até 575/576
Avenida Marechal Floriano Peixoto - de 180/181 a 929/930
Praça Carlos Gomes
Rua Monsenhor Celso
Rua Lourenço Pinto
Praça Eufrásio Correia
Rua Barão do Rio Branco
Travessa da Lapa
Rua João Negrão - até 849/850
Praça Senador Correia
Rua Barão do Rio Branco, 182
Rua Barão do Rio Branco, s/n
Rua Monsenhor Celso, 219
Rua José Loureiro, 574
Rua Marechal Deodoro, 298
Rua Marechal Deodoro, 298 Subsolo Anexo CDD
Rua André de Barros, 90/100
Rua Marechal Deodoro, 298
Rua Marechal Deodoro, 298
Rua Voluntários da Pátria
Praça General Osório
Avenida Luiz Xavier
Travessa Oliveira Bello
Alameda Doutor Muricy - de 577/578 ao fim
Rua Cândido de Leão
Rua Candido Lopes
Largo Frederico Faria de Oliveira
Praça Zacarias
Avenida Marechal Floriano Peixoto - até 178/179
Praça Tiradentes
Rua do Rosário
Travessa Nestor de Castro
Rua José Bonifácio
Galeria Júlio Moreira
Largo Coronel Enéas
Travessa Padre Júlio de Campos
Rua Doutor Claudino dos Santos
Rua Barão do Serro Azul
Rua São Francisco
Rua Prefeito João Moreira Garcez
Travessa Tobias de Macedo
Praça José Borges de Macedo
Praça Generoso Marques
Rua Alfredo Bufren
Rua Riachuelo
Praça Dezenove de Dezembro
Rua Treze de Maio - até 469/470
Rua Presidente Carlos Cavalcanti - até 569/570
Rua Presidente Faria
Praça Santos Andrade
Rua XV de Novembro - até 894/0895
Rua Marechal Deodoro - até 0765 - lado ímpar
Parque Passeio Público
Galeria Pinheiro Lima
Rua Marechal Deodoro, 555
Avenida Marechal Floriano Peixoto, 96
Rua XV de Novembro, 620
Rua XV de Novembro, 621
Rua Prefeito João Moreira Garcez, 170
Praça Generoso Marques, 27
Rua Prefeito João Moreira Garcez, 92
Rua Emiliano Perneta, 288 Lojas 06 e 07
Avenida Luiz Xavier, 103
Avenida João Gualberto - até 1060/1061
Avenida João Gualberto - de 1062/1063 ao fim
Rua Luiz Leão
Praça Gibran Khalil Gibran
Rua Heitor Stockler de Franca
Largo José Knopfholz
Rua Ary Camargo Queiroz
Rua da Glória
Rua Comendador Fontana
Travessa Itália
Travessa Rui Leão
Rua Padre Antônio
Avenida Agostinho Leão Júnior
Rua Gottlieb Müeller
Rua Carlos Eduardo Leão
Rua Maria Clara
Travessa Luthero
Trincheira da Avenida João Gualberto
Praça Goethe
Praça Portugal
Rua Ivo Leão - até 619/620
Jardinete Engenheiro Raul Iwersen
Travessa José do Patrocínio
Rua Mauá
Rua Tertuliano Müller
Rua Amâncio Moro
Rua Campos Sales - até 414/415
Praça Else Schiller Otte
Rua Augusto Severo
Rua Pedro Rolim de Moura
Rua Simão Bolivar - até 377/378
Rua Paraguassu
Rua Alberto Bolliger
Rua Campos Sales - de 981 ao fim - lado ímpar
Rua Doutor Goulin - até 552/553
Rua Cândido Mader
Rua Barão de Guaraúna
Rua Doutor Zamenhof
Rua Nicolau Maeder - até 429/430
Rua Augusto Stresser - até 298/299
Rua Constantino Marochi
Rua Machado de Assis - até 569/570
Rua Campos Sales - de 416/417 a 979/980
Rua Campos Sales - de 982 ao fim - lado par
Rua Cambará
Rua Nicolau Maeder - de 431/432 ao fim
Rua Rocha Pombo - até 718/719
Rua Barão dos Campos Gerais
Praça Vivian Calopreso Braga
Rua Moyses Marcondes - até 668/669
Jardinete Mário Bandeira Rocha
Rua Guarda-Mor Lustosa
Rua Elbe Pospissil
Rua Manoel Eufrásio - até 533/534
Jardinete Paul Harris
Travessa Doutor Flávio Luz
Jardinete Padre Bonifácio Kleinpass
Rua São Vicente
Avenida Munhoz da Rocha - até 399/400
Praça São Paulo da Cruz
Rua Melchíades Fangueiro
Jardinete José de Oliveira Rocha
Avenida João Gualberto, 530
Rua Mauá, 920
Avenida João Gualberto, 1664
Rua Campos Sales, 623
Avenida Munhoz da Rocha - de 401/402 ao fim
Rua Bom Jesus
Jardinete Guilherme Ronconi
Rua São Pedro
Rua Doutor Manoel Pedro
Rua Chichorro Júnior
Rua dos Funcionários
Rua João Américo de Oliveira - até 559/560
Rua Alfredo Wenske
Rua Clóvis Beviláqua
Rua Quintino Bocaiúva
Rua Professor Arthur Loyola
Rua Recife
Rua Deputado Joaquim José Pedrosa
Avenida Paraná - até 1369/1370
Rua São Luiz
Praça Coronel Elísio da Costa Marques
Rua Coronel João de Alencar Guimarães Filho
Rua dos Passionistas
Rua Belém
Rua Vereador Garcia Rodrigues Velho
Praça da Suíça
Travessa Graciosa
Rua Vereador Antônio dos Reis Cavalheiro
Jardinete Felipe Nievola
Rua Campinas
Rua Coronel Amazonas Marcondes
Rua Santo Afonso de Ligório - lado ímpar
Travessa Rodolpho Rosenau
Rua Vitória
Rua Pedro Fabri
Rua Abílio Peixoto
Rua da Bandeira
Terminal Cabral
Rua Reinaldo Egon Heidinger
Praça Major Idegaldo Coutinho Bacci
Jardinete Nilseu Brock
Rua Luciano Cardinale
Rua Alfredo Gulin
Rua José de Alencar - de 1456/1457 ao fim
Praça Isaac Milder
Praça Brigadeiro-do-Ar Mário Calmon Eppinghaus
Rua Machado de Assis - de 571/572 ao fim
Jardinete Jornalista Samuel Guimarães da Costa
Rua Almirante Tamandaré - de 1202/1203 ao fim
Rua Sete de Abril - de 1036/1037 ao fim
Rua Conselheiro Carrão
Rua Atílio Bório - de 1443 ao fim - lado ímpar
Rua Itupava - de 477 a 841 - lado ímpar
Rua Simão Bolivar - de 379/380 ao fim
Rua Humberto Carta
Rua Schiller - de 1417/1418 ao fim
Rua Padre Germano Mayer - de 1415/1416 ao fim
Rua Camões - de 921/922 ao fim
Praça Desembargador Acyr Saldanha Loyola
Rua Professor Duílio Aníbal Calderari
Rua Prefeito Ângelo Ferrário Lopes - de 1330/1331 ao fim
Rua Valdivia
Avenida Nossa Senhora da Luz - de 1212 a 2370 - lado par
Rua Coronel Napoleão Marcondes Franca
Rua Doutor Goulin - de 554/555 ao fim
Jardinete Rui Castro dos Santos
Travessa João Max Rosener
Praça Santa Filomena
Rua Augusto Stresser - de 300/301 a 1150/1151
Rua Deputado Carneiro de Campos
Rua João David Perneta
Rua Jaime Balão
Rua Augusto Stresser - de 1152/1153 ao fim
Rua Menezes Dória
Rua João Américo de Oliveira - de 561/562 ao fim
Jardinete Berel Brik
Praça Soroptimismo Internacional
Rua Aramis Taborda Athayde
Jardinete Victo Pavim Johnsson
Jardinete Poeta Leonardo Henke
Praça Maria Philomena de Luca Mondrone
Jardinete Airton Sozzi
Jardinete Adelina Dutra Sanson
Jardinete Professor Oswaldo Dória
Rua Atílio Bório - de 1442 ao fim - lado par
Rua Fernandes de Barros - de 927/928 ao fim
Rua Presidente Rodrigo Otávio - de 927/928 ao fim
Rua Itupava - de 843 ao fim - lado ímpar
Rua Flávio Dallegrave - de 1621/1622 a 2754/2755
Rua Augusto Stresser, 1184
Avenida Sete de Setembro - de 1432 a 1694 - lado par
Rua do Herval - até 364/365
Praça Tenente Ernâni Vidal
Avenida Visconde de Guarapuava - de 1177/1178 a 1494/1495
Jardinete Natálio Santos
Jardinete Desembargador Zeferino Krukoski
Avenida Senador Souza Naves - até 474/475
Rua Reinaldino Schaffenberg de Quadros - até 519/520
Rua Fernando Amaro - até 589/590
Rua Marechal Deodoro - de 1475/1476 a 2085/2086
Rua Ubaldino do Amaral - de 967 a 1475 - lado ímpar
Rua Sete de Abril - até 588/589
Rua Almirante Tamandaré - até 724/725
Rua José de Alencar - de 280/281 a 965/966
Rua Atílio Bório - de 315/316 a 965/966
Rua XV de Novembro - de 1600/1601 a 2230/2231
Rua Dias da Rocha Filho - até 419/420
Rua Professor Brandão - até 355/356
Rua Itupava - até 476 - lado par
Travessa João Prosdócimo
Rua Ubaldino do Amaral - de 431 a 965 - lado ímpar
Rua Amintas de Barros - de 690/691 ao fim
Rua Vinte e Um de Abril - até 354/355
Rua Sete de Abril - de 590/591 a 1034/1035
Rua Almirante Tamandaré - de 726/727 a 1200/1201
Rua José de Alencar - de 967/968 a 1454/1455
Rua Atílio Bório - de 967/968 a 1440/1441
Avenida Sete de Setembro - de 828 a 1430 - lado par
Avenida Senador Souza Naves - de 476/477 a 784/785
Largo Isaac Lazzarotto
Avenida Visconde de Guarapuava - de 607/608 a 1175/1176
Jardinete Cleusa Salomão
Largo José Luvizotti
Rua Reinaldino Schaffenberg de Quadros - de 521/522 a 1079/1080
Jardinete dos Maçons
Rua Paulina Taborda Ribas de Camargo
Rua Fernando Amaro - de 591/592 a 1074/1075
Rua Marechal Deodoro - de 2087/2088 a 2575/2576
Rua Schiller - de 425/426 a 930/931
Rua Padre Germano Mayer - de 511/512 a 930/931
Rua Flávio Dallegrave - até 1119/1120
Rua Zeila Moura dos Santos - de 571/572 ao fim
Rua Camões - de 86/87 a 443/444
Jardinete Aline Cordeiro Parigot de Souza
Rua XV de Novembro - de 2232/2233 a 2750/2751
Rua Dias da Rocha Filho - de 421/422 a 909/910
Rua Professor Brandão - de 357/358 a 840/841
Travessa Kalil Karan
Rua Antônio Mion
Travessa Nelson Gonçalves de Lima
Rua Schiller - de 932/933 a 1415/1416
Rua Itupava - de 478 a 840 - lado par
Rua Padre Germano Mayer - de 932/933 a 1413/1414
Rua Flávio Dallegrave - de 1121/1122 a 1619/1620
Rua Camões - de 445/446 a 919/920
Rua Professor Brandão - de 842/843 ao fim
Rua Itupava - de 842 ao fim - lado par
Rua Dias da Rocha Filho - de 911/912 ao fim
Rua XV de Novembro - de 2752/2753 ao fim
Avenida Visconde de Guarapuava - até 605/606
Jardinete Hipólito Dopieralski
Rua Coronel Assumpção
Avenida Nossa Senhora da Luz - de 2372 ao fim - lado par
Rua Presidente Beaurepaire Rohan - de 691/692 ao fim
Praça das Nações
Rua Marechal Deodoro - de 2577/2578 ao fim
Rua Fernando Amaro - de 1076/1077 a 1439/1440
Avenida Sete de Setembro - até 826 - lado par
Rua Fernandes de Barros - de 165/166 a 924/925
Rua Presidente Rodrigo Otávio - de 245/246 a 925/926
Rua Prefeito Ângelo Ferrário Lopes - de 720/721 a 1328/1329
Rua Fioravante Dalla Stella
Avenida Senador Souza Naves - de 786/787 ao fim
Travessa Madre Júlia
Rua Carlos Gomes do Prado
Rua Major Ernâni Belmiro Mazalli
Praça da Polônia
Rua do Herval - de 366/367 ao fim
Rua Francisco Alves Guimarães
Rua Ubaldino do Amaral - de 1477 ao fim - lado ímpar
Rua José de Alencar - até 278/279
Praça Poeta Ildefonso Correia de Serro Azul
Rua Atílio Bório - até 313/314
Avenida Sete de Setembro - de 829 a 1693 - lado ímpar
Rua Schiller - até 423/424
Rua Padre Germano Mayer - até 509/510
Praça Cecília do Rego Almeida
Rua Camões - até 84/85
Praça Carlos Filizola
Rua Fernandes de Barros - até 163/164
Jardinete Henrique Knopfholz
Avenida Sete de Setembro - até 827 - lado ímpar
Rua Presidente Rodrigo Otávio - até 243/244
Rua Prefeito Ângelo Ferrário Lopes - até 718/719
Praça Ercílio Slaviero
Rua Presidente Beaurepaire Rohan - até 689/690
Avenida São José
Rua Poeta Francisco Ferreira Leite
Avenida Presidente Affonso Camargo - de 570/571 a 2918/2919
